Playerid,Name,Age,Nationality,Overall,Potential,Club,Value,Wage
10220,T. Rattger,31,Germany,65,65,SG Sonnenhof Grossaspach,475000,1000
10221,Z. Valentin,25,United States,65,67,Portland Timbers,550000,2000
10222,H. Shaian,28,Saudi Arabia,65,65,Al Nassr,375000,8000
10223,F. AÅlvarez,24,Colombia,65,71,Independiente Medellaen,625000,1000
10224,Park Yong Woo,23,Korea Republic,65,70,Ulsan Hyundai FC,625000,2000
10225,J. Derstroff,25,Germany,65,68,SV Sandhausen,675000,2000
10226,De La Hoz,25,Spain,65,72,Albacete Balompia,650000,6000
10227,H. Bjordal,20,Norway,65,75,Brighton & Hove Albion,875000,10000
10228,A. Hadziahmetovic,20,Bosnia Herzegovina,65,77,Atiker Konyaspor,975000,4000
10229,S. Maierhofer,34,Austria,65,65,SV Mattersburg,280000,7000
10230,C. Ramsebner,28,Austria,65,67,LASK Linz,500000,5000
10231,Freire,27,Brazil,65,65,Shimizu S-Pulse,450000,2000
10232,O. Mangala,19,Belgium,65,79,VfB Stuttgart,1100000,4000
10233,B. Lennon,19,United States,65,77,Real Salt Lake,950000,15000
10234,P. Sohm,25,Germany,65,68,SG Sonnenhof Grossaspach,675000,1000
10235,B. Figueroa,18,Mexico,65,73,U.N.A.M.,725000,4000
10236,D. Briceno,31,Colombia,65,65,Alianza Petrolera,375000,1000
10237,K. Thiam,23,Senegal,65,70,Dinamo Moscow,625000,7000
10238,N. Ampomah,21,Ghana,65,73,Waasland-Beveren,800000,3000
10239,J. Orlov,31,Sweden,65,65,SK Brann,475000,2000
10240,J. Gyamerah,22,Germany,65,75,VfL Bochum,750000,4000
10241,A. Doukha,30,Algeria,65,65,Ohod Club,350000,5000
10242,T. Rodraeguez,21,Argentina,65,77,Genoa,975000,7000
10243,J. Izumisawa,25,Japan,65,68,Gamba Osaka,675000,4000
10244,M. Connolly,25,Republic of Ireland,65,70,Crawley Town,600000,3000
10245,Jeong Dong Ho,27,Korea Republic,65,65,Ulsan Hyundai FC,450000,2000
10246,M. Pitton,22,Argentina,65,70,Unian de Santa Fe,625000,3000
10247,L. Blessing,20,Ghana,65,71,Sporting Kansas City,750000,2000
10248,T. Al Absi,24,Saudi Arabia,65,70,Al Taawoun,625000,5000
10249,M. Moscati,24,Italy,65,70,Novara,700000,1000
10250,V. Kravets,19,Ukraine,65,75,CD Lugo,725000,1000
10251,K. Kikuchi,31,Japan,65,65,Omiya Ardija,375000,2000
10252,Kim Dae Jung,24,Korea Republic,65,70,Incheon United FC,625000,2000
10253,L. Coyle,21,England,65,75,Fleetwood Town,750000,7000
10254,F. Crivelli,35,Argentina,65,65,Club Atlatico Tigre,130000,2000
10255,J. Amoroso,29,Argentina,65,65,Newell's Old Boys,525000,5000
10256,A. Iunco,33,Italy,65,65,Cittadella,350000,1000
10257,Diego Alende,19,Spain,65,75,RC Celta de Vigo,725000,3000
10258,Ruca,26,Portugal,65,66,Tondela,525000,2000
10259,S. Silva,27,Sweden,65,66,Palermo,625000,2000
10260,M. Edwards,18,England,65,87,Tottenham Hotspur,1200000,11000
10261,S. Lagrou,25,Morocco,65,67,Al Nassr,550000,9000
10262,M. Exslager,26,Germany,65,66,SC Fortuna Kaln,650000,1000
10263,A. Al Hafith,24,Saudi Arabia,65,74,Al Hilal,725000,8000
10264,R. Garbuschewski,31,Germany,65,65,FSV Zwickau,475000,1000
10265,Lee Myung Jae,23,Korea Republic,65,74,Ulsan Hyundai FC,700000,2000
10266,P. Koch,26,Switzerland,65,67,FC St. Gallen,525000,4000
10267,V. Osimhen,18,Nigeria,65,83,VfL Wolfsburg,1100000,10000
10268,Jean Cleber,27,Brazil,65,65,CS Maraetimo,450000,3000
10269,T. Salamon,28,Austria,65,65,FK Austria Wien,425000,6000
10270,K. Alston,29,United States,65,65,Orlando City Soccer Club,400000,3000
10271,D. McMillan,28,Republic of Ireland,65,65,Dundalk,550000,1000
10272,A. Corryn,23,Belgium,65,70,Royal Antwerp FC,600000,4000
10273,S. Roux,24,New Zealand,65,69,Central Coast Mariners,575000,1000
10274,G. De Feo,23,Italy,65,68,Ascoli,675000,1000
10275,R. Bayard,23,France,65,71,Tours FC,750000,2000
10276,L. Raser,23,Germany,65,71,SG Dynamo Dresden,750000,4000
10277,K. Falkenberg,29,Germany,65,65,VfL Osnabraeck,400000,1000
10278,D. Jimanez,28,Mexico,65,65,Lobos de la BUAP,550000,3000
10279,S. Moore,27,England,65,68,Sheffield United,450000,9000
10280,O. Threlkeld,23,England,65,71,Plymouth Argyle,625000,3000
10281,L. Esqueda,36,Mexico,65,65,Querataro,60000,2000
10282,G. Acampora,23,Italy,65,72,La Spezia,750000,1000
10283,M. Mount,18,England,65,83,Vitesse,1100000,2000
10284,P. Funk,27,Germany,65,66,SV Wehen Wiesbaden,500000,1000
10285,H. Bunn,24,England,65,68,Bury,675000,3000
10286,C. Sammon,30,Republic of Ireland,65,65,Partick Thistle F.C.,525000,3000
10287,C. Cato,24,Trinidad & Tobago,65,68,San Jose Earthquakes,575000,2000
10288,A. Nabbout,24,Australia,65,71,Newcastle Jets,750000,1000
10289,G. Esparza,24,Argentina,65,70,Puebla,725000,5000
10290,P. Misak,26,Slovakia,65,66,Termalica Bruk-Bet Nieciecza,625000,2000
10291,M. Baettolo,27,Argentina,65,66,Albacete Balompia,500000,3000
10292,F. Rawson,20,England,65,75,Accrington Stanley,775000,10000
10293,Kevin,24,Spain,65,72,RC Celta de Vigo,650000,5000
10294,M. Aòrnskov,31,Denmark,65,65,Lyngby BK,475000,4000
10295,L. Berry,24,England,65,70,Luton Town,725000,5000
10296,A. Kamara,23,Sierra Leone,65,71,Al Taawoun,750000,6000
10297,B. Geens,21,Belgium,65,74,Sporting Lokeren,650000,2000
10298,M. Halsti,33,Finland,65,65,FC Midtjylland,220000,7000
10299,M. Ilaimaharitra,21,France,65,74,Sporting Charleroi,725000,3000
10300,F. Grillo,24,Argentina,65,69,Valez Sarsfield,575000,4000
10301,Patrao,27,Portugal,65,66,Grupo Desportivo de Chaves,600000,3000
10302,K. Nwakali,19,Nigeria,65,78,VVV-Venlo,1000000,13000
10303,J. Sudia,26,Sweden,65,68,BK Hacken,550000,2000
10304,D. Gissi,26,Switzerland,65,69,Defensa y Justicia,575000,5000
10305,N. Cameron,25,England,65,71,Bury,625000,3000
10306,R. Edwards,23,England,65,70,Plymouth Argyle,625000,3000
10307,D. Mangni,24,Italy,65,71,Atalanta,750000,7000
10308,S. Ferguson,25,Northern Ireland,65,66,Millwall,650000,10000
10309,J. Nilsson,23,Sweden,65,73,IF Elfsborg,675000,2000
10310,P. Fryc,24,Poland,65,70,Termalica Bruk-Bet Nieciecza,600000,2000
10311,Y. Attal,21,Algeria,65,74,KV Kortrijk,725000,3000
10312,R. Godaenez,24,Mexico,65,70,Lobos de la BUAP,625000,2000
10313,Tarsi,22,Spain,65,74,Athletic Club de Bilbao,825000,6000
10314,Ezkieta,20,Spain,65,79,FC Barcelona B,975000,1000
10315,F. Lanzillotta,24,Argentina,65,73,Argentinos Juniors,600000,2000
10316,M. Fink,27,Slovenia,65,65,Cracovia,450000,2000
10317,M. Mikovicç,26,Slovakia,65,65,Termalica Bruk-Bet Nieciecza,575000,2000
10318,A. Collin,32,England,65,65,Notts County,300000,4000
10319,D. Rose,29,England,65,65,Portsmouth,525000,4000
10320,J. Tosik,30,Poland,65,65,Zaglebie Lubin,400000,3000
10321,T. Morita,26,Japan,65,67,Albirex Niigata,450000,1000
10322,S. Zurkowski,19,Poland,65,76,Garnik Zabrze,900000,1000
10323,S. Kukuruzovic,28,Croatia,65,65,FC St. Gallen,525000,5000
10324,A. Al Mutairi,31,Saudi Arabia,65,65,Al Fayha,475000,6000
10325,Lasure,23,Spain,65,72,Real Zaragoza,650000,3000
10326,Evandro,29,Brazil,65,65,Daegu FC,550000,2000
10327,P. Taylor,29,England,65,65,Bradford City,525000,4000
10328,W. Suwayyid,29,Saudi Arabia,65,65,Al Faisaly,400000,7000
10329,I. Radu,20,Romania,65,77,Avellino,775000,8000
10330,P. Estupinan,19,Ecuador,65,75,UD Almeraea,725000,7000
10331,L. Martaenez,30,Mexico,65,65,Tiburones Rojos de Veracruz,500000,3000
10332,N. Clarke,33,England,65,65,Grimsby Town,220000,4000
10333,Josa Cruz,28,Spain,65,65,Viking FK,450000,2000
10334,C. Curran,27,England,65,65,Ross County FC,575000,3000
10335,S. Lapez,31,Argentina,65,65,Jaguares Fatbol Club,325000,1000
10336,F. Angileri,23,Argentina,65,70,Godoy Cruz,725000,4000
10337,J. Bager,20,Denmark,65,73,Randers FC,700000,3000
10338,A. Vetrih,26,Slovenia,65,66,,0,0
10339,K. Pannewitz,25,Germany,65,70,FC Carl Zeiss Jena,600000,1000
10340,B. Kopacz,25,Poland,65,68,Zaglebie Lubin,575000,3000
10341,H. Patronen,33,Finland,65,65,HJK Helsinki,220000,1000
10342,F. Cristaldo,20,Argentina,65,72,Defensa y Justicia,650000,5000
10343,T. Parkes,25,England,65,66,Carlisle United,525000,4000
10344,S. Lovric,19,Austria,65,77,SK Sturm Graz,825000,3000
10345,N. Butzen,24,Germany,65,68,1. FC Magdeburg,675000,1000
10346,N. Di Roberto,31,Italy,65,65,Salernitana,475000,2000
10347,G. Zelalem,20,United States,65,75,Arsenal,875000,18000
10348,R. Brown,21,England,65,74,Forest Green,850000,4000
10349,F. Escobar,22,Argentina,65,73,Newell's Old Boys,675000,4000
10350,D. Zeefuik,19,Netherlands,65,75,Ajax,725000,2000
10351,S. Salviato,29,Italy,65,65,Cremonese,400000,1000
10352,R. Dow,26,Scotland,65,66,Ross County FC,625000,3000
10353,S. Adekugbe,22,Canada,65,72,IFK Gateborg,650000,2000
10354,P. Foden,17,England,65,84,Manchester City,1100000,15000
10355,A. Poggenborg,33,Germany,65,65,SC Fortuna Kaln,270000,1000
10356,E. Gamez,23,Argentina,65,70,Rosario Central,600000,4000
10357,M. Finotto,24,Italy,65,69,Ternana,725000,4000
10358,K. Sadlier,22,Republic of Ireland,65,75,Cork City,875000,1000
10359,T. Holota,26,Poland,65,67,Pogon Szczecin,550000,2000
10360,D. Payne,21,United States,65,72,Excelsior,650000,2000
10361,J. Lillis,30,England,65,65,Rochdale,350000,2000
10362,P. Rosario,20,Netherlands,65,75,PSV,875000,4000
10363,Sim Sang Min,24,Korea Republic,65,71,FC Seoul,750000,2000
10364,I. Diallo,20,Mali,65,75,KAS Eupen,775000,3000
10365,Choi Kyu Baek,23,Korea Republic,65,72,Ulsan Hyundai FC,650000,2000
10366,E. Palos,31,Mexico,65,65,Tigres U.A.N.L.,325000,12000
10367,M. Rojas,21,Paraguay,65,77,Club Atlatico Lanas,975000,4000
10368,Pedro Silva,20,Portugal,65,77,Sporting CP,775000,2000
10369,D. Khomich,32,Russia,65,65,Amkar Perm,300000,5000
10370,Kim Dong Jin,24,Korea Republic,65,69,Daegu FC,600000,2000
10371,G. Montoya,34,Argentina,65,65,Belgrano de Cardoba,220000,3000
10372,Paulo Otavio,22,Brazil,65,74,FC Ingolstadt 04,700000,5000
10373,A. Al Shammari,28,Saudi Arabia,65,65,Al Raed,425000,6000
10374,E. Bajrami,29,Sweden,65,65,IF Elfsborg,525000,2000
10375,T. Elliott,26,England,65,68,Millwall,675000,11000
10376,R. Salinas,31,Argentina,65,65,Ettifaq FC,475000,5000
10377,M. Castro,29,Uruguay,65,65,Unian de Santa Fe,375000,3000
10378,M. Dumbuya,29,Sierra Leone,65,65,Partick Thistle F.C.,400000,2000
10379,S. Benyamina,27,Germany,65,65,Hansa Rostock,575000,1000
10380,J. Quiroga,35,Argentina,65,65,Belgrano de Cardoba,120000,3000
10381,S. Tronstad,21,Norway,65,70,FK Haugesund,725000,1000
10382,T. Lapslie,21,England,65,74,Colchester United,725000,4000
10383,J. Rivas,29,Colombia,65,65,CD Los Millionarios Bogota,425000,2000
10384,N. Freire,23,Argentina,65,73,PEC Zwolle,675000,3000
10385,V. Demarconnay,34,France,65,65,Paris FC,220000,2000
10386,C. Chaplin,20,England,65,82,Portsmouth,1200000,3000
10387,V. Mogos,24,Romania,65,69,Ascoli,575000,1000
10388,N. Bandiera,27,Argentina,65,65,Belgrano de Cardoba,575000,5000
10389,C. Handke,28,Germany,65,65,1. FC Magdeburg,450000,1000
10390,R. Allsop,25,England,65,71,Blackpool,525000,11000
10391,Gus Ledes,24,Portugal,65,72,CF Reus Deportiu,750000,2000
10392,M. Lowe,20,England,65,79,Derby County,1100000,10000
10393,D. Dussaut,22,France,65,71,Sint-Truidense VV,625000,3000
10394,T. Schwede,23,Germany,65,71,1. FC Magdeburg,750000,1000
10395,J. Adebanjo,23,Nigeria,65,70,Vitaria Setabal,625000,2000
10396,G. Piesio,28,Poland,65,65,Arka Gdynia,550000,3000
10397,B. Sankoh,25,Guinea,65,68,SM Caen,575000,6000
10398,L. Chiaretti,29,Brazil,65,65,Cittadella,525000,1000
10399,M. Petrasso,21,Canada,65,73,Queens Park Rangers,800000,6000
10400,T. Lumanza,23,Belgium,65,71,Stabaek Fotball,625000,1000
10401,G. Evans,29,England,65,65,Portsmouth,400000,4000
10402,Jean Carlos,21,Brazil,65,73,Granada CF,800000,3000
10403,G. Nijholt,27,Netherlands,65,65,NAC Breda,550000,3000
10404,D. Albadoro,28,Italy,65,65,Ternana,550000,1000
10405,A. Aguilar,28,Paraguay,65,65,,0,0
10406,A. Salugin,28,Russia,65,65,Amkar Perm,550000,7000
10407,L. Olaza,22,Uruguay,65,72,Talleres de Cordoba,650000,3000
10408,Alex Rodriguez,23,Spain,65,69,Boavista FC,700000,2000
10409,I. Azemi,25,Kosovo,65,67,Holstein Kiel,675000,4000
10410,M. Mehlem,19,Germany,65,79,SV Darmstadt 98,1200000,4000
10411,F. Margiotta,23,Italy,65,72,FC Lausanne-Sports,775000,21000
10412,M. Ali Yakoubi,26,Tunisia,65,67,Al Fateh,550000,8000
10413,J. Onguana,19,France,65,80,FC Red Bull Salzburg,1000000,3000
10414,C. Landu Landu,25,Norway,65,70,Tromso IL,600000,2000
10415,A. Pavlovic,23,Serbia,65,72,FC Kobenhavn,775000,6000
10416,M. Ullmann,21,Austria,65,74,LASK Linz,725000,4000
10417,K. Guada,32,Slovakia,65,65,SC Freiburg,425000,8000
10418,A. Ponroy,31,France,65,65,Bourg en Bresse Paronnas 01,375000,2000
10419,A. Ostbo,26,Norway,65,70,Rosenborg BK,500000,2000
10420,J. Mills,27,England,65,66,Perth Glory,500000,3000
10421,R. Bocalon,28,Italy,65,65,Salernitana,550000,2000
10422,R. Riski,25,Finland,65,67,SKN St. Palten,675000,5000
10423,L. Clarke,32,England,65,65,Sheffield United,425000,13000
10424,Toni Villa,22,Spain,65,76,Real Valladolid,925000,3000
10425,R. Rep,27,Slovenia,65,65,LASK Linz,575000,5000
10426,M. Giordano,37,Argentina,65,65,Club Atlatico Huracan,40000,2000
10427,M. Lucero,27,Argentina,65,66,Banfield,625000,5000
10428,J. Al-Hazaimeh,25,Germany,65,67,SC Preussen Maenster,550000,1000
10429,A. Wailbi,26,Saudi Arabia,65,66,Al Nassr,525000,10000
10430,H. Sakhi,21,Morocco,65,72,AJ Auxerre,775000,4000
10431,D. Holm,31,Norway,65,65,VAylerenga Fotball,475000,2000
10432,S. Supple,30,Republic of Ireland,65,66,Bohemian FC,400000,1000
10433,E. Legati,31,Italy,65,65,Vercelli,375000,1000
10434,C. Ben Saada,33,Tunisia,65,65,ES Troyes AC,325000,7000
10435,T. Erat,25,Azerbaijan,65,67,MSV Duisburg,650000,2000
10436,Y. Otayn,26,Saudi Arabia,65,68,Ettifaq FC,550000,5000
10437,D. Arapov,24,Russia,65,71,FC Ural,550000,6000
10438,I. Boggino,31,Argentina,65,65,Temperley,375000,3000
10439,Y. Maruyama,28,Japan,65,65,F.C. Tokyo,450000,3000
10440,B. Jatta,19,Gambia,65,78,Hamburger SV,1000000,6000
10441,I. Ouadraogo,28,Burkina Faso,65,65,Wolfsberger AC,550000,5000
10442,P. Azogue,22,Bolivia,65,74,,0,0
10443,D. Atanga,20,Ghana,65,74,FC Red Bull Salzburg,850000,7000
10444,J. van der Heyden,21,Netherlands,65,71,FC Twente,725000,3000
10445,R. Ogawa,20,Japan,65,76,F.C. Tokyo,800000,2000
10446,K. Dougall,24,Australia,65,69,Sparta Rotterdam,600000,3000
10447,T. Nocchi,26,Italy,65,65,Perugia,375000,1000
10448,M. Ahlschwede,27,Germany,65,65,Waerzburger FV,450000,1000
10449,J. Lolley,24,England,65,68,Huddersfield Town,675000,11000
10450,D. Rodraeguez,21,Argentina,65,75,River Plate,875000,4000
10451,E. Gural,28,Turkey,65,65,Antalyaspor,550000,6000
10452,A. Gerrard,31,Republic of Ireland,65,65,Oldham Athletic,375000,2000
10453,K. N'Doram,21,France,65,76,AS Monaco,825000,6000
10454,K. Yoshimoto,29,Japan,65,66,F.C. Tokyo,475000,3000
10455,G. Liddle,31,England,65,65,Carlisle United,375000,4000
10456,J. Torunarigha,19,Germany,65,80,Hertha BSC Berlin,1000000,4000
10457,P. Cutrone,19,Italy,65,80,Milan,1200000,14000
10458,B. Kee,26,Northern Ireland,65,66,Accrington Stanley,650000,4000
10459,T. Yonemoto,26,Japan,65,66,F.C. Tokyo,625000,4000
10460,R. Reid,28,England,65,65,Exeter City,550000,5000
10461,M. Wanitzek,24,Germany,65,68,Karlsruher SC,675000,1000
10462,A. Pnishi,26,Kosovo,65,68,Grasshopper Club Zaerich,550000,5000
10463,R. Boukari,30,Togo,65,65,La Berrichonne de ChA¢teauroux,500000,2000
10464,H. Fujiharu,28,Japan,65,65,Gamba Osaka,425000,4000
10465,M. Schulze,28,Germany,65,65,Sportfreunde Lotte,425000,1000
10466,D. Fox,33,England,65,65,Plymouth Argyle,220000,3000
10467,M. Grimes,21,England,65,73,Northampton Town,800000,13000
10468,G. Baldock,24,England,65,72,Sheffield United,650000,9000
10469,J. Bartkowski,25,Poland,65,69,Wisla Krakaw,575000,2000
10470,N. Safronidi,33,Russia,65,65,FC Ufa,210000,7000
10471,M. Cardona,21,Colombia,65,76,Chacarita Juniors,925000,3000
10472,A. Vita,24,Italy,65,67,Cesena,675000,1000
10473,P. Hartley,29,England,65,65,Motherwell,425000,3000
10474,J. Slowik,25,Poland,65,68,Slask Wroclaw,475000,2000
10475,M. Rigione,26,Italy,65,66,Cesena,525000,5000
10476,D. Dziwniel,24,Poland,65,68,Zaglebie Lubin,575000,2000
10477,Kim Yong Dae,37,Korea Republic,65,65,Ulsan Hyundai FC,40000,1000
10478,A. El-Abd,32,Egypt,65,65,Wycombe Wanderers,300000,5000
10479,B. Ozbek,30,Germany,65,65,MSV Duisburg,400000,2000
10480,J. Proctor,25,England,65,67,Rotherham United,675000,4000
10481,O. Marciano,27,Israel,65,67,Hibernian,450000,2000
10482,A. Scifo,29,Argentina,65,65,Temperley,400000,3000
10483,Kim Jung Ya,29,Korea Republic,65,65,Gamba Osaka,425000,4000
10484,C. Bell,30,Scotland,65,65,Kilmarnock,350000,2000
10485,J. Allen,22,England,65,74,Burton Albion,725000,3000
10486,M. Tishkin,27,Russia,65,66,FC SKA-Energiya Khabarovsk,500000,6000
10487,G. Melkadze,20,Russia,65,75,FC Tosno,875000,12000
10488,J. Swierczok,24,Poland,65,71,Zaglebie Lubin,750000,3000
10489,M. Galmarini,35,Argentina,65,65,Club Atlatico Tigre,120000,3000
10490,M. Bader,20,Germany,65,76,Karlsruher SC,800000,1000
10491,D. Andrew,26,England,65,67,Doncaster Rovers,525000,3000
10492,H. Lybohy,33,France,65,65,Paris FC,220000,2000
10493,M. Al Fehaid,27,Saudi Arabia,65,68,Al Fateh,550000,8000
10494,M. Ambichl,26,Austria,65,67,SKN St. Palten,650000,5000
10495,R. Koch,31,Germany,65,65,FSV Zwickau,475000,1000
10496,J. Fabri,23,France,65,73,Stade Brestois 29,600000,1000
10497,J. Rask,28,Denmark,65,66,Hobro IK,425000,3000
10498,M. Doyle,35,Republic of Ireland,65,65,Coventry City,130000,3000
10499,N. Nyauza,27,South Africa,65,66,Orlando Pirates,500000,1000
10500,H. Camara,33,France,65,65,Montreal Impact,210000,2000
10501,C. Gratzei,35,Austria,65,65,SK Sturm Graz,130000,3000
10502,M. Clarke,20,England,65,82,Portsmouth,1100000,3000
10503,A. Raineau,31,France,65,65,La Berrichonne de ChA¢teauroux,350000,2000
10504,C. Gutiarrez,27,Mexico,65,66,Puebla,500000,3000
10505,R. Jaadi,22,Belgium,65,71,Royal Antwerp FC,750000,4000
10506,L. Paz,28,Colombia,65,65,Deportes Tolima,450000,1000
10507,J. Cooper,22,England,65,75,Millwall,750000,8000
10508,D. Jones,20,United States,65,76,Philadelphia Union,825000,2000
10509,A. Picchi,19,Italy,65,78,Empoli,1000000,1000
10510,K. Danso,18,Austria,65,79,FC Augsburg,1000000,3000
10511,Romario,24,Brazil,65,71,Kalmar FF,750000,2000
10512,Joao Pedro,24,Brazil,65,68,Al Fateh,700000,8000
10513,Anuar,22,Morocco,65,75,Real Valladolid,750000,2000
10514,L. Caicedo,21,Colombia,65,78,Corporacian Club Deportivo Tulua,925000,1000
10515,E. Wahlstram,30,Sweden,65,65,BK Hacken,400000,2000
10516,Z. Diabata,28,Ivory Coast,65,65,Chamois Niortais FC,425000,2000
10517,A. Al Owayshir,26,Saudi Arabia,65,69,Al Fateh,500000,6000
10518,D. Cinaglia,23,Italy,65,70,Ascoli,625000,1000
10519,S. Ernst,22,Germany,65,74,Spagg Greuther Furth,825000,4000
10520,A. Vincent,23,France,65,73,AJ Auxerre,800000,2000
10521,Nito Carbelho,25,Brazil,65,65,Avaae Futebol Clube,600000,5000
10522,A. Bliznichenko,22,Ukraine,65,70,Kardemir Karabaekspor,725000,4000
10523,M. Hartel,21,Germany,65,75,1. FC Union Berlin,875000,7000
10524,M. Fox,23,Wales,65,72,Sheffield Wednesday,650000,11000
10525,F. Oyerze,29,Chile,65,65,Audax Italiano,375000,1000
10526,A. Hanche-Olsen,20,Norway,65,73,Stabaek Fotball,700000,1000
10527,D. Milovic,23,Montenegro,65,72,Amkar Perm,775000,6000
10528,L. Brown,26,England,65,65,Bristol Rovers,450000,3000
10529,R. Gaddis,27,United States,65,65,Philadelphia Union,450000,2000
10530,R. Colclough,22,England,65,74,Wigan Athletic,825000,4000
10531,Javi Galan,22,Spain,65,72,Cardoba CF,750000,3000
10532,V. Vukadinovic,26,Serbia,65,69,Sparta Praha,700000,1000
10533,G. Zarate,32,Argentina,65,65,FC Lausanne-Sports,425000,4000
10534,E. AÅvila,23,Argentina,65,74,SD Huesca,825000,5000
10535,C. Bernardi,27,Argentina,65,65,Colon de Santa Fe,575000,4000
10536,J. Leitan,23,Costa Rica,65,69,Minnesota Thunder,700000,2000
10537,M. Sema,28,Sweden,65,65,Orebro SK,550000,2000
10538,D. Potter,32,Republic of Ireland,65,65,Rotherham United,300000,4000
10539,A. Vindheim,21,Norway,65,73,Malma FF,675000,2000
10540,L. Mutambala,24,DR Congo,65,70,Royal Excel Mouscron,600000,3000
10541,D. Templeton,28,Scotland,65,65,Hamilton Academical FC,550000,3000
10542,B. Cargill,21,England,65,77,Fleetwood Town,850000,11000
10543,R. Shindo,21,Japan,65,71,Hokkaido Consadole Sapporo,650000,1000
10544,G. Torres,21,Colombia,65,76,Atletico Nacional Medellin,950000,2000
10545,M. N'Diaye,27,Mali,65,66,Royal Antwerp FC,500000,4000
10546,Aridane,30,Spain,65,65,Albacete Balompia,525000,3000
10547,G. Gigliotti,27,France,65,67,Ascoli,525000,1000
10548,A. Panyukov,22,Russia,65,73,Zenit St. Petersburg,800000,14000
10549,J. Wawrzyniak,33,Poland,65,65,Lechia Gdansk,210000,3000
10550,K. Omori,25,Japan,65,67,Vissel Kobe,650000,2000
10551,M. Scavone,30,Italy,65,65,Parma,500000,2000
10552,C. Winchester,24,Northern Ireland,65,69,Cheltenham Town,700000,4000
10553,G. Williams,21,Wales,65,75,Fulham,875000,9000
10554,F. Menig,23,Germany,65,70,SC Preussen Maenster,600000,1000
10555,K. Otani,28,Japan,65,66,Albirex Niigata,425000,2000
10556,K. Pierie,16,Netherlands,65,82,SC Heerenveen,950000,1000
10557,Ha Dae Sung,32,Korea Republic,65,65,FC Seoul,400000,3000
10558,R. Dickson,30,England,65,65,Yeovil Town,400000,3000
10559,Kike Barja,20,Spain,65,75,CA Osasuna,875000,3000
10560,A. Nkaka,21,Belgium,65,73,Royal Excel Mouscron,700000,3000
10561,S. Iocolano,27,Italy,65,65,Bari,575000,2000
10562,Ronaldo,27,Brazil,65,65,Novara,550000,2000
10563,M. Falkesgaard,26,Denmark,65,69,FC Midtjylland,500000,6000
10564,Lee Jong Won,28,Korea Republic,65,65,Sangju Sangmu FC,450000,2000
10565,B. Khadartsev,24,Russia,65,71,FC Anzhi Makhachkala,750000,6000
10566,I. Karsanidis,24,Greece,65,71,Waerzburger FV,750000,1000
10567,Han Sang Wun,31,Korea Republic,65,65,Ulsan Hyundai FC,475000,3000
10568,Choi Jong Hoan,29,Korea Republic,65,65,Incheon United FC,400000,2000
10569,A. Correa,23,Colombia,65,74,La Equidad,700000,1000
10570,T. Nezunir,29,Chile,65,65,CD Palestino,400000,2000
10571,R. Bagadur,21,Croatia,65,74,Brescia,725000,1000
10572,Oh Jae Suk,27,Korea Republic,65,66,Gamba Osaka,500000,4000
10573,S. Maholli,24,Sweden,65,72,IK Sirius,775000,1000
10574,E. Keles,30,Turkey,65,65,Medicana Sivasspor,525000,5000
10575,L. Velazquez,28,Argentina,65,65,Tiburones Rojos de Veracruz,550000,3000
10576,D. Braeckner,36,Germany,65,65,Rot-Weiss Erfurt,60000,1000
10577,B. Moloney,28,Republic of Ireland,65,65,Northampton Town,425000,3000
10578,D. Worrall,27,England,65,65,Port Vale,575000,5000
10579,L. Lapez,23,Mexico,65,70,Club Lean,700000,7000
10580,T. Hasegawa,23,Japan,65,73,Kawasaki Frontale,800000,2000
10581,J. Brown,28,England,65,65,Shrewsbury,425000,2000
10582,A. Cisak,28,Australia,65,66,Sydney FC,425000,2000
10583,L. Barnett,31,England,65,65,Northampton Town,375000,3000
10584,A. Schalk,24,Netherlands,65,70,Ross County FC,725000,2000
10585,R. Wolters,27,Netherlands,65,65,Dundee FC,575000,3000
10586,F. Geraldoza,33,Chile,65,65,Santiago Wanderers,220000,2000
10587,T. Aoki,27,Japan,65,65,Urawa Red Diamonds,450000,4000
10588,J. Gatt,25,United States,65,66,Colorado Rapids,650000,3000
10589,M. Viler,30,Slovenia,65,65,,0,0
10590,F. Godoy,27,Argentina,65,68,Talleres de Cordoba,550000,4000
10591,P. Mullins,25,United States,65,68,D.C. United,700000,3000
10592,M. Wostry,24,Austria,65,69,FC Admira Wacker Madling,600000,3000
10593,Imanol Garcia,21,Spain,65,75,Villarreal CF,875000,7000
10594,J. Vunguidica,27,Angola,65,66,SV Sandhausen,625000,3000
10595,A. Omrani,26,Algeria,65,68,Oldham Athletic,650000,2000
10596,D. Flinta,33,Denmark,65,65,Silkeborg IF,220000,3000
10597,P. Jaquez,21,Mexico,65,76,U.N.A.M.,825000,4000
10598,M. Al Najrani,24,Saudi Arabia,65,71,Al Hilal,750000,9000
10599,Everton,23,Brazil,65,68,CS Maraetimo,700000,3000
10600,Z. Loyd,29,United States,65,65,Atlanta United FC,425000,3000
10601,A. Jackson,23,England,65,73,Barnsley,675000,3000
10602,Rui Vieira,25,Portugal,65,68,Rio Ave FC,475000,2000
10603,S. Galloway,22,Australia,65,70,Wellington Phoenix,600000,1000
10604,J. Kjaer,31,Denmark,65,65,Lyngby BK,475000,4000
10605,Janota,30,Portugal,65,65,Tondela,350000,2000
10606,Juanmi Callejan,30,Spain,65,65,Ettifaq FC,500000,5000
